Category: All categories

Month,depression: (Boston MA-Manchester NH)
2012-07,53
2012-08,60
2012-09,60
2012-10,74
2012-11,67
2012-12,71
2013-01,73
2013-02,78
2013-03,86
2013-04,80
2013-05,75
2013-06,63
2013-07,57
2013-08,52
2013-09,59
2013-10,75
2013-11,74
2013-12,67
2014-01,76
2014-02,71
2014-03,87
2014-04,86
2014-05,73
2014-06,68
2014-07,63
2014-08,77
2014-09,75
2014-10,79
2014-11,80
2014-12,79
2015-01,71
2015-02,80
2015-03,95
2015-04,89
2015-05,86
2015-06,70
2015-07,67
2015-08,63
2015-09,72
2015-10,88
2015-11,83
2015-12,78
2016-01,84
2016-02,85
2016-03,92
2016-04,92
2016-05,88
2016-06,64
2016-07,57
2016-08,60
2016-09,75
2016-10,82
2016-11,82
2016-12,84
2017-01,88
2017-02,84
2017-03,97
2017-04,93
2017-05,81
2017-06,75
2017-07,69
2017-08,66
2017-09,70
2017-10,82
2017-11,94
2017-12,91
2018-01,90
2018-02,90
2018-03,89
2018-04,93
2018-05,85
2018-06,87
2018-07,73
2018-08,71
2018-09,75
2018-10,89
2018-11,100
2018-12,88
2019-01,86
2019-02,99
2019-03,100
2019-04,91
2019-05,85
2019-06,71
2019-07,63
2019-08,62
2019-09,75
2019-10,92
2019-11,88
2019-12,77
2020-01,87
2020-02,90
2020-03,87
2020-04,94
2020-05,84
2020-06,68
2020-07,70
2020-08,70
2020-09,71
2020-10,76
2020-11,75
2020-12,71
2021-01,72
2021-02,84
2021-03,81
2021-04,77
2021-05,61
2021-06,60
2021-07,55
2021-08,58
2021-09,59
2021-10,71
2021-11,76
2021-12,64
