YearMonth,MonthYear,WordMonth,Year,Month,Cul. Crime count,Gender_ratio,UnemploymentRate,MedianIncomeRate,MeanIncomeRate,WorkforceCount,PercentNegativeTweets,PercentNegativeUsers,FavorOfDemocrats
12-Jul,Jul-12,Jul,2012,7,0.009629562,0.519,6.6,51642,78360,0.043,0,0.3,0.776
12-Aug,Aug-12,Aug,2012,8,0.012481255,0.519,6.2,51642,78360,0.043,0,0.204081633,0.776
12-Sep,Sep-12,Sep,2012,9,0.012263222,0.519,6,51642,78360,0.043,0,0.166666667,0.776
12-Oct,Oct-12,Oct,2012,10,0.011935387,0.519,5.8,51642,78360,0.043,0,0.303797468,0.776
12-Nov,Nov-12,Nov,2012,11,0.010622478,0.519,5.6,51642,78360,0.043,0,0.275862069,0.776
12-Dec,Dec-12,Dec,2012,12,0.01080914,0.519,5.8,51642,78360,0.043,0,0.283783784,0.776
13-Jan,Jan-13,Jan,2013,1,0.010860697,0.522,6.8,53583,81062,0.037,0,0.258064516,0.776
13-Feb,Feb-13,Feb,2013,2,0.009230507,0.522,6.4,53583,81062,0.037,0,0.318965517,0.776
13-Mar,Mar-13,Mar,2013,3,0.01099409,0.522,6.1,53583,81062,0.037,0,0.257575758,0.776
13-Apr,Apr-13,Apr,2013,4,0.010838982,0.522,5.7,53583,81062,0.037,0,0.277777778,0.776
13-May,May-13,May,2013,5,0.011958865,0.522,6.1,53583,81062,0.037,0,0.071428571,0.776
13-Jun,Jun-13,Jun,2013,6,0.011872004,0.522,6.5,53583,81062,0.037,0,0.257703081,0.776
13-Jul,Jul-13,Jul,2013,7,0.012667711,0.522,6.5,53583,81062,0.037,0,0.264573991,0.776
13-Aug,Aug-13,Aug,2013,8,0.012349739,0.522,6,53583,81062,0.037,0,0.268292683,0.776
13-Sep,Sep-13,Sep,2013,9,0.011935599,0.522,6,53583,81062,0.037,0,0.294117647,0.776
13-Oct,Oct-13,Oct,2013,10,0.01142219,0.522,5.8,53583,81062,0.037,0,0.350806452,0.776
13-Nov,Nov-13,Nov,2013,11,0.010624932,0.522,5.4,53583,81062,0.037,0,0.272904483,0.776
