Category: All categories

Month,depression: (Chicago IL)
2011-01,65
2011-02,70
2011-03,70
2011-04,67
2011-05,65
2011-06,51
2011-07,53
2011-08,49
2011-09,59
2011-10,61
2011-11,63
2011-12,52
2012-01,62
2012-02,69
2012-03,71
2012-04,64
2012-05,62
2012-06,48
2012-07,47
2012-08,52
2012-09,53
2012-10,61
2012-11,63
2012-12,62
2013-01,65
2013-02,72
2013-03,65
2013-04,68
2013-05,61
2013-06,49
2013-07,48
2013-08,49
2013-09,59
2013-10,65
2013-11,67
2013-12,61
2014-01,62
2014-02,74
2014-03,78
2014-04,77
2014-05,63
2014-06,53
2014-07,55
2014-08,69
2014-09,69
2014-10,73
2014-11,71
2014-12,66
2015-01,72
2015-02,83
2015-03,82
2015-04,79
2015-05,73
2015-06,55
2015-07,58
2015-08,56
2015-09,69
2015-10,78
2015-11,75
2015-12,71
2016-01,75
2016-02,93
2016-03,89
2016-04,83
2016-05,75
2016-06,57
2016-07,55
2016-08,58
2016-09,66
2016-10,74
2016-11,73
2016-12,70
2017-01,77
2017-02,83
2017-03,91
2017-04,85
2017-05,82
2017-06,59
2017-07,57
2017-08,67
2017-09,69
2017-10,75
2017-11,78
2017-12,75
2018-01,84
2018-02,95
2018-03,89
2018-04,91
2018-05,79
2018-06,80
2018-07,69
2018-08,66
2018-09,73
2018-10,85
2018-11,90
2018-12,85
2019-01,80
2019-02,100
2019-03,100
2019-04,85
2019-05,84
2019-06,62
2019-07,62
2019-08,64
2019-09,69
2019-10,81
2019-11,80
2019-12,74
2020-01,84
2020-02,90
2020-03,91
2020-04,92
2020-05,79
2020-06,62
2020-07,66
2020-08,63
2020-09,69
2020-10,71
2020-11,66
2020-12,69
2021-01,68
2021-02,75
2021-03,68
2021-04,68
2021-05,61
2021-06,56
2021-07,55
2021-08,52
2021-09,61
2021-10,63
2021-11,62
2021-12,54
