YearMonth,MonthYear,WordMonth,Year,Month,Cul. Crime count,Gender_ratio,UnemploymentRate,MedianIncomeRate,MeanIncomeRate,WorkforceCount,PercentNegativeTweets,PercentNegativeUsers,FavorOfDemocrats,Population
11-Jan,Jan-11,Jan,2011,1,0.002903451,0.513,10.5,43628,66383,0.046,0,0.666666667,0.76,2707123
11-Feb,Feb-11,Feb,2011,2,0.002399595,0.513,10.2,43628,66383,0.046,0,0.166666667,0.76,2707123
11-Mar,Mar-11,Mar,2011,3,0.00310625,0.513,9.9,43628,66383,0.046,0,1,0.76,2707123
11-Apr,Apr-11,Apr,2011,4,0.002920813,0.513,10,43628,66383,0.046,0,0.266666667,0.76,2707123
11-May,May-11,May,2011,5,0.003011315,0.513,10.2,43628,66383,0.046,0,0.375,0.76,2707123
11-Jun,Jun-11,Jun,2011,6,0.003163506,0.513,11,43628,66383,0.046,0,0.5,0.76,2707123
11-Jul,Jul-11,Jul,2011,7,0.003272847,0.513,11,43628,66383,0.046,0,0.6,0.76,2707123
11-Aug,Aug-11,Aug,2011,8,0.003340077,0.513,10.7,43628,66383,0.046,0,0.423076923,0.76,2707123
11-Sep,Sep-11,Sep,2011,9,0.003060814,0.513,10.3,43628,66383,0.046,0,0.483870968,0.76,2707123
11-Oct,Oct-11,Oct,2011,10,0.002944085,0.513,10.2,43628,66383,0.046,0,0.454545455,0.76,2707123
11-Nov,Nov-11,Nov,2011,11,0.002750152,0.513,9.6,43628,66383,0.046,0,0.529411765,0.76,2707123
11-Dec,Dec-11,Dec,2011,12,0.002691788,0.513,9.5,43628,66383,0.046,0,0.387096774,0.76,2707123
12-Jan,Jan-12,Jan,2012,1,0.002789479,0.515,10,45214,69516,0.043,0,0.52173913,0.74,2714844
12-Feb,Feb-12,Feb,2012,2,0.002811211,0.515,9.8,45214,69516,0.043,0,0.421052632,0.74,2714844
12-Mar,Mar-12,Mar,2012,3,0.003097416,0.515,9.4,45214,69516,0.043,0,0.413793103,0.74,2714844
12-Apr,Apr-12,Apr,2012,4,0.002729807,0.515,9.2,45214,69516,0.043,0,0.324324324,0.74,2714844
12-May,May-12,May,2012,5,0.002910664,0.515,9,45214,69516,0.043,0,0.35,0.74,2714844
