Category: All categories

Month,depression: (Dallas-Ft. Worth TX)
2014-06,48
2014-07,49
2014-08,60
2014-09,55
2014-10,60
2014-11,64
2014-12,59
2015-01,64
2015-02,60
2015-03,68
2015-04,82
2015-05,78
2015-06,59
2015-07,53
2015-08,52
2015-09,63
2015-10,68
2015-11,70
2015-12,66
2016-01,63
2016-02,66
2016-03,66
2016-04,84
2016-05,69
2016-06,50
2016-07,46
2016-08,50
2016-09,60
2016-10,65
2016-11,61
2016-12,60
2017-01,67
2017-02,63
2017-03,66
2017-04,80
2017-05,69
2017-06,53
2017-07,53
2017-08,59
2017-09,56
2017-10,62
2017-11,68
2017-12,65
2018-01,66
2018-02,76
2018-03,67
2018-04,83
2018-05,74
2018-06,68
2018-07,64
2018-08,62
2018-09,68
2018-10,75
2018-11,76
2018-12,76
2019-01,69
2019-02,83
2019-03,82
2019-04,84
2019-05,75
2019-06,56
2019-07,60
2019-08,59
2019-09,72
2019-10,73
2019-11,73
2019-12,69
2020-01,65
2020-02,74
2020-03,84
2020-04,100
2020-05,72
2020-06,61
2020-07,65
2020-08,65
2020-09,65
2020-10,63
2020-11,57
2020-12,58
2021-01,60
2021-02,63
2021-03,68
2021-04,70
2021-05,60
2021-06,52
2021-07,51
2021-08,51
2021-09,58
2021-10,59
2021-11,60
2021-12,51
