YearMonth,YearMonth1,WordMonth,Year,Month,Cul. Crime count,Gender_ratio,UnemploymentRate,MedianIncomeRate,MeanIncomeRate,WorkforceCount,PercentNegativeTweets,PercentNegativeUsers,FavorOfDemocrats
14-Jun,Jun-14,Jun,2014,6,0.001019491,0.502,5.6,43003,73312,0.018,0,0.204545455,0.571
14-Jul,Jul-14,Jul,2014,7,0.001057742,0.502,5.8,43003,73312,0.018,0,0.254851229,0.571
14-Aug,Aug-14,Aug,2014,8,0.00109287,0.502,5.7,43003,73312,0.018,0,0.272108844,0.571
14-Sep,Sep-14,Sep,2014,9,0.000923475,0.502,5.2,43003,73312,0.018,0,0.27014218,0.571
14-Oct,Oct-14,Oct,2014,10,0.00095548,0.502,4.8,43003,73312,0.018,0,0.301775148,0.571
14-Nov,Nov-14,Nov,2014,11,0.000864928,0.502,4.7,43003,73312,0.018,0,0.284892086,0.571
14-Dec,Dec-14,Dec,2014,12,0.000788427,0.502,4.3,43003,73312,0.018,0,0.28115942,0.571
15-Jan,Jan-15,Jan,2015,1,0.000823025,0.508,4.9,45918,77636,0.017,0,0.255405405,0.571
15-Feb,Feb-15,Feb,2015,2,0.000720724,0.508,4.5,45918,77636,0.017,0,0.317073171,0.571
15-Mar,Mar-15,Mar,2015,3,0.0008461,0.508,4.3,45918,77636,0.017,0,0.25862069,0.571
15-Apr,Apr-15,Apr,2015,4,0.00083687,0.508,3.9,45918,77636,0.017,0,0,0.571
15-May,May-15,May,2015,5,0.000886098,0.508,4.1,45918,77636,0.017,0,0.300171527,0.571
15-Jun,Jun-15,Jun,2015,6,0.000736877,0.508,4.4,45918,77636,0.017,0,0.289290682,0.571
15-Jul,Jul-15,Jul,2015,7,0.000803795,0.508,4.4,45918,77636,0.017,0,0.256906077,0.571
15-Aug,Aug-15,Aug,2015,8,0.000770721,0.508,4.1,45918,77636,0.017,0,0.328,0.571
15-Sep,Sep-15,Sep,2015,9,0.000739953,0.508,4.1,45918,77636,0.017,0,0.290102389,0.571
15-Oct,Oct-15,Oct,2015,10,0.000766875,0.508,4,45918,77636,0.017,0,0.276849642,0.571
15-Nov,Nov-15,Nov,2015,11,0.000717647,0.508,3.9,45918,77636,0.017,0,0.294354839,0.571
