Category: All categories

Month,depression: (Denver CO)
2011-01,75
2011-02,76
2011-03,74
2011-04,80
2011-05,70
2011-06,59
2011-07,53
2011-08,57
2011-09,76
2011-10,71
2011-11,71
2011-12,65
2012-01,71
2012-02,80
2012-03,68
2012-04,76
2012-05,71
2012-06,56
2012-07,55
2012-08,55
2012-09,64
2012-10,68
2012-11,76
2012-12,66
2013-01,77
2013-02,83
2013-03,69
2013-04,75
2013-05,77
2013-06,50
2013-07,57
2013-08,51
2013-09,69
2013-10,66
2013-11,78
2013-12,69
2014-01,78
2014-02,80
2014-03,72
2014-04,75
2014-05,71
2014-06,56
2014-07,57
2014-08,74
2014-09,73
2014-10,76
2014-11,74
2014-12,74
2015-01,75
2015-02,87
2015-03,86
2015-04,89
2015-05,80
2015-06,66
2015-07,64
2015-08,66
2015-09,78
2015-10,87
2015-11,77
2015-12,82
2016-01,75
2016-02,90
2016-03,85
2016-04,90
2016-05,75
2016-06,63
2016-07,61
2016-08,63
2016-09,75
2016-10,77
2016-11,85
2016-12,80
2017-01,78
2017-02,91
2017-03,82
2017-04,84
2017-05,79
2017-06,63
2017-07,67
2017-08,77
2017-09,81
2017-10,81
2017-11,90
2017-12,84
2018-01,87
2018-02,92
2018-03,86
2018-04,85
2018-05,79
2018-06,75
2018-07,71
2018-08,67
2018-09,82
2018-10,91
2018-11,88
2018-12,86
2019-01,88
2019-02,89
2019-03,95
2019-04,95
2019-05,83
2019-06,62
2019-07,65
2019-08,63
2019-09,75
2019-10,85
2019-11,89
2019-12,80
2020-01,80
2020-02,87
2020-03,95
2020-04,100
2020-05,76
2020-06,62
2020-07,63
2020-08,69
2020-09,67
2020-10,76
2020-11,63
2020-12,69
2021-01,67
2021-02,76
2021-03,68
2021-04,74
2021-05,68
2021-06,62
2021-07,54
2021-08,58
2021-09,68
2021-10,64
2021-11,68
2021-12,59
