YearMonth,MonthYear,WordMonth,Year,Month,Cul. Crime count,Gender_ratio,UnemploymentRate,MedianIncomeRate,MeanIncomeRate,WorkforceCount,PercentNegativeTweets,PercentNegativeUsers,FavorOfDemocrats
11-Jan,Jan-11,Jan,2011,1,0.004530879,0.499,9.8,47371,71488,0.044,0,0.238095238,0.75
11-Feb,Feb-11,Feb,2011,2,0.004182474,0.499,9.6,47371,71488,0.044,0,0.260869565,0.75
11-Mar,Mar-11,Mar,2011,3,0.005343824,0.499,9.3,47371,71488,0.044,0,0.266666667,0.75
11-Apr,Apr-11,Apr,2011,4,0.005187365,0.499,8.7,47371,71488,0.044,0,0.340659341,0.75
11-May,May-11,May,2011,5,0.005437377,0.499,9,47371,71488,0.044,0,0.295454545,0.75
11-Jun,Jun-11,Jun,2011,6,0.005574481,0.499,8.7,47371,71488,0.044,0,0.242424242,0.75
11-Jul,Jul-11,Jul,2011,7,0.005714811,0.499,8.6,47371,71488,0.044,0,0.23655914,0.75
11-Aug,Aug-11,Aug,2011,8,0.005940629,0.499,8.8,47371,71488,0.044,0,0.215053763,0.75
11-Sep,Sep-11,Sep,2011,9,0.005753523,0.499,8.6,47371,71488,0.044,0,0.175925926,0.75
11-Oct,Oct-11,Oct,2011,10,0.005413183,0.499,8.5,47371,71488,0.044,0,0.203539823,0.75
11-Nov,Nov-11,Nov,2011,11,0.005584159,0.499,8.5,47371,71488,0.044,0,0.222222222,0.75
11-Dec,Dec-11,Dec,2011,12,0.00491477,0.499,8.7,47371,71488,0.044,0,0.218181818,0.75
12-Jan,Jan-12,Jan,2012,1,0.00543306,0.5,9,50488,74611,0.042,0,0.190909091,0.735
12-Feb,Feb-12,Feb,2012,2,0.004405099,0.5,8.9,50488,74611,0.042,0,0.209090909,0.735
12-Mar,Mar-12,Mar,2012,3,0.005204449,0.5,8.6,50488,74611,0.042,0,0.244897959,0.735
12-Apr,Apr-12,Apr,2012,4,0.005459863,0.5,8.1,50488,74611,0.042,0,0.25,0.735
12-May,May-12,May,2012,5,0.005939158,0.5,8,50488,74611,0.042,0,0.25862069,0.735
12-Jun,Jun-12,Jun,2012,6,0.005667978,0.5,8.3,50488,74611,0.042,0,0.254237288,0.735
12-Jul,Jul-12,Jul,2012,7,0.006293899,0.5,8,50488,74611,0.042,0,0.259036145,0.735
12-Aug,Aug-12,Aug,2012,8,0.00638692,0.5,7.8,50488,74611,0.042,0,0.19379845,0.735
12-Sep,Sep-12,Sep,2012,9,0.005817758,0.5,7.2,50488,74611,0.042,0,0.291925466,0.735
12-Oct,Oct-12,Oct,2012,10,0.005519775,0.5,7.1,50488,74611,0.042,0,0.245810056,0.735
12-Nov,Nov-12,Nov,2012,11,0.005335309,0.5,7,50488,74611,0.042,0,0.269430052,0.735
12-Dec,Dec-12,Dec,2012,12,0.005333733,0.5,7.2,50488,74611,0.042,0,0.255319149,0.735
13-Jan,Jan-13,Jan,2013,1,0.005662861,0.5,7.8,51089,76688,0.033,0,0.248908297,0.735
13-Feb,Feb-13,Feb,2013,2,0.004518895,0.5,7.6,51089,76688,0.033,0,0.217142857,0.735
13-Mar,Mar-13,Mar,2013,3,0.004708273,0.5,7,51089,76688,0.033,0,0.185185185,0.735
13-Apr,Apr-13,Apr,2013,4,0.004982332,0.5,6.5,51089,76688,0.033,0,0.207446809,0.735
13-May,May-13,May,2013,5,0.00688381,0.5,6.5,51089,76688,0.033,0,0.235632184,0.735
13-Jun,Jun-13,Jun,2013,6,0.008083203,0.5,6.8,51089,76688,0.033,0,0.285714286,0.735
13-Jul,Jul-13,Jul,2013,7,0.00863902,0.5,6.5,51089,76688,0.033,0,0.154545455,0.735
13-Aug,Aug-13,Aug,2013,8,0.008551259,0.5,6.3,51089,76688,0.033,0,0.239263804,0.735
13-Sep,Sep-13,Sep,2013,9,0.008127853,0.5,6,51089,76688,0.033,0,0.263374486,0.735
13-Oct,Oct-13,Oct,2013,10,0.008057029,0.5,5.9,51089,76688,0.033,0,0.254385965,0.735
13-Nov,Nov-13,Nov,2013,11,0.007123996,0.5,5.7,51089,76688,0.033,0,0.281105991,0.735
13-Dec,Dec-13,Dec,2013,12,0.006856096,0.5,5.5,51089,76688,0.033,0,0.277192982,0.735
14-Jan,Jan-14,Jan,2014,1,0.006968316,0.5,6.1,54941,81880,0.039,0,0.262458472,0.735
14-Feb,Feb-14,Feb,2014,2,0.00621816,0.5,6.1,54941,81880,0.039,0,0.253472222,0.735
14-Mar,Mar-14,Mar,2014,3,0.007165646,0.5,5.7,54941,81880,0.039,0,0.228136882,0.735
14-Apr,Apr-14,Apr,2014,4,0.007027063,0.5,5.3,54941,81880,0.039,0,0.251012146,0.735
14-May,May-14,May,2014,5,0.00763261,0.5,4.7,54941,81880,0.039,0,0.266949153,0.735
14-Jun,Jun-14,Jun,2014,6,0.007671775,0.5,4.7,54941,81880,0.039,0,0.195439739,0.735
14-Jul,Jul-14,Jul,2014,7,0.00809355,0.5,4.6,54941,81880,0.039,0,0.203508772,0.735
14-Aug,Aug-14,Aug,2014,8,0.008501767,0.5,4.5,54941,81880,0.039,0,0.249201278,0.735
14-Sep,Sep-14,Sep,2014,9,0.008355652,0.5,4,54941,81880,0.039,0,0.307042254,0.735
14-Oct,Oct-14,Oct,2014,10,0.007851029,0.5,3.9,54941,81880,0.039,0,0.292,0.735
14-Nov,Nov-14,Nov,2014,11,0.00632511,0.5,3.9,54941,81880,0.039,0,0.348148148,0.735
14-Dec,Dec-14,Dec,2014,12,0.006644453,0.5,3.9,54941,81880,0.039,0,0.295019157,0.735
15-Jan,Jan-15,Jan,2015,1,0.006925551,0.5,4.4,58003,84540,0.039,0,0.245210728,0.735
