Category: All categories

Month,depression: (Indianapolis IN)
2011-01,67
2011-02,78
2011-03,68
2011-04,78
2011-05,71
2011-06,48
2011-07,51
2011-08,61
2011-09,62
2011-10,77
2011-11,80
2011-12,62
2012-01,63
2012-02,83
2012-03,72
2012-04,70
2012-05,72
2012-06,40
2012-07,56
2012-08,56
2012-09,63
2012-10,60
2012-11,69
2012-12,56
2013-01,74
2013-02,71
2013-03,68
2013-04,75
2013-05,52
2013-06,49
2013-07,50
2013-08,50
2013-09,66
2013-10,70
2013-11,74
2013-12,62
2014-01,57
2014-02,77
2014-03,69
2014-04,76
2014-05,71
2014-06,48
2014-07,63
2014-08,77
2014-09,71
2014-10,65
2014-11,79
2014-12,90
2015-01,74
2015-02,100
2015-03,80
2015-04,88
2015-05,76
2015-06,56
2015-07,56
2015-08,47
2015-09,77
2015-10,85
2015-11,83
2015-12,74
2016-01,67
2016-02,92
2016-03,82
2016-04,83
2016-05,63
2016-06,57
2016-07,57
2016-08,55
2016-09,78
2016-10,69
2016-11,79
2016-12,71
2017-01,87
2017-02,80
2017-03,83
2017-04,84
2017-05,74
2017-06,58
2017-07,60
2017-08,63
2017-09,70
2017-10,78
2017-11,80
2017-12,75
2018-01,77
2018-02,83
2018-03,78
2018-04,80
2018-05,75
2018-06,64
2018-07,65
2018-08,64
2018-09,72
2018-10,75
2018-11,88
2018-12,78
2019-01,85
2019-02,93
2019-03,86
2019-04,89
2019-05,72
2019-06,61
2019-07,55
2019-08,58
2019-09,70
2019-10,78
2019-11,81
2019-12,75
2020-01,73
2020-02,82
2020-03,71
2020-04,75
2020-05,68
2020-06,61
2020-07,61
2020-08,64
2020-09,73
2020-10,73
2020-11,63
2020-12,59
2021-01,53
2021-02,71
2021-03,61
2021-04,57
2021-05,59
2021-06,52
2021-07,53
2021-08,47
2021-09,62
2021-10,61
2021-11,70
2021-12,59
