YearMonth,MonthYear,WordMonth,Year,Month,Cul. Crime count,Gender_ratio,UnemploymentRate,MedianIncomeRate,MeanIncomeRate,WorkforceCount,PercentNegativeTweets,PercentNegativeUsers,FavorOfDemocrats
11-Jan,Jan-11,Jan,2011,1,0.006085665,0.521,10.3,39015,54453,0.046,0,0.285714286,0.64
11-Feb,Feb-11,Feb,2011,2,0.004928224,0.521,10.2,39015,54453,0.046,0,0.45,0.64
11-Mar,Mar-11,Mar,2011,3,0.006668026,0.521,9.8,39015,54453,0.046,0,0.25862069,0.64
11-Apr,Apr-11,Apr,2011,4,0.007124208,0.521,9.2,39015,54453,0.046,0,0.25,0.64
11-May,May-11,May,2011,5,0.007939512,0.521,9.3,39015,54453,0.046,0,0.1875,0.64
11-Jun,Jun-11,Jun,2011,6,0.007721127,0.521,10,39015,54453,0.046,0,0.264705882,0.64
11-Jul,Jul-11,Jul,2011,7,0.008717206,0.521,9.8,39015,54453,0.046,0,0.275,0.64
11-Aug,Aug-11,Aug,2011,8,0.008435732,0.521,9.9,39015,54453,0.046,0,0.255813953,0.64
11-Sep,Sep-11,Sep,2011,9,0.007199429,0.521,9.6,39015,54453,0.046,0,0,0.64
11-Oct,Oct-11,Oct,2011,10,0.007338953,0.521,9.7,39015,54453,0.046,0,0.382352941,0.64
11-Nov,Nov-11,Nov,2011,11,0.006937367,0.521,9.5,39015,54453,0.046,0,0.323529412,0.64
11-Dec,Dec-11,Dec,2011,12,0.006931301,0.521,9.2,39015,54453,0.046,0,0.228571429,0.64
12-Jan,Jan-12,Jan,2012,1,0.005043036,0.518,9.9,40854,56047,0.043,0,0.181818182,0.602
12-Feb,Feb-12,Feb,2012,2,0.00460035,0.518,9.7,40854,56047,0.043,0,0.245098039,0.602
12-Mar,Mar-12,Mar,2012,3,0.005150717,0.518,9.4,40854,56047,0.043,0,0.307692308,0.602
12-Apr,Apr-12,Apr,2012,4,0.005532384,0.518,8.7,40854,56047,0.043,0,0.206185567,0.602
12-May,May-12,May,2012,5,0.006261022,0.518,8.8,40854,56047,0.043,0,0.203539823,0.602
12-Jun,Jun-12,Jun,2012,6,0.006123431,0.518,9.2,40854,56047,0.043,0,0.306122449,0.602
12-Jul,Jul-12,Jul,2012,7,0.006356738,0.518,9.4,40854,56047,0.043,0,0.247787611,0.602
12-Aug,Aug-12,Aug,2012,8,0.006099502,0.518,9.1,40854,56047,0.043,0,0.3125,0.602
12-Sep,Sep-12,Sep,2012,9,0.00571903,0.518,8.6,40854,56047,0.043,0,0.270588235,0.602
12-Oct,Oct-12,Oct,2012,10,0.005845854,0.518,8.8,40854,56047,0.043,0,0.333333333,0.602
12-Nov,Nov-12,Nov,2012,11,0.005348131,0.518,8.9,40854,56047,0.043,0,0.318181818,0.602
12-Dec,Dec-12,Dec,2012,12,0.005183021,0.518,9,40854,56047,0.043,0,0.365853659,0.602
13-Jan,Jan-13,Jan,2013,1,0.005406566,0.514,10.1,41361,59325,0.041,0,0.48,0.602
13-Feb,Feb-13,Feb,2013,2,0.003974118,0.514,9.8,41361,59325,0.041,0,0.204968944,0.602
13-Mar,Mar-13,Mar,2013,3,0.00460387,0.514,9.2,41361,59325,0.041,0,0.244604317,0.602
13-Apr,Apr-13,Apr,2013,4,0.005275368,0.514,8.4,41361,59325,0.041,0,0.545454545,0.602
13-May,May-13,May,2013,5,0.005572353,0.514,8.5,41361,59325,0.041,0,0.263803681,0.602
13-Jun,Jun-13,Jun,2013,6,0.005912276,0.514,8.7,41361,59325,0.041,0,0.222826087,0.602
