Category: All categories

Month,depression: (Los Angeles CA)
2011-01,64
2011-02,67
2011-03,72
2011-04,67
2011-05,70
2011-06,58
2011-07,57
2011-08,56
2011-09,58
2011-10,62
2011-11,61
2011-12,55
2012-01,64
2012-02,75
2012-03,71
2012-04,69
2012-05,72
2012-06,57
2012-07,56
2012-08,53
2012-09,56
2012-10,66
2012-11,66
2012-12,60
2013-01,66
2013-02,67
2013-03,72
2013-04,73
2013-05,73
2013-06,57
2013-07,57
2013-08,50
2013-09,60
2013-10,63
2013-11,64
2013-12,64
2014-01,70
2014-02,74
2014-03,80
2014-04,76
2014-05,71
2014-06,50
2014-07,56
2014-08,78
2014-09,69
2014-10,70
2014-11,75
2014-12,67
2015-01,76
2015-02,84
2015-03,84
2015-04,83
2015-05,80
2015-06,64
2015-07,63
2015-08,63
2015-09,68
2015-10,79
2015-11,75
2015-12,73
2016-01,79
2016-02,96
2016-03,89
2016-04,90
2016-05,84
2016-06,63
2016-07,61
2016-08,62
2016-09,71
2016-10,75
2016-11,80
2016-12,75
2017-01,73
2017-02,89
2017-03,91
2017-04,86
2017-05,89
2017-06,71
2017-07,73
2017-08,78
2017-09,76
2017-10,74
2017-11,86
2017-12,73
2018-01,84
2018-02,97
2018-03,89
2018-04,83
2018-05,97
2018-06,86
2018-07,75
2018-08,72
2018-09,83
2018-10,86
2018-11,83
2018-12,78
2019-01,93
2019-02,98
2019-03,100
2019-04,90
2019-05,94
2019-06,74
2019-07,67
2019-08,68
2019-09,88
2019-10,79
2019-11,89
2019-12,79
2020-01,88
2020-02,93
2020-03,86
2020-04,88
2020-05,91
2020-06,75
2020-07,76
2020-08,67
2020-09,97
2020-10,76
2020-11,73
2020-12,73
2021-01,70
2021-02,80
2021-03,80
2021-04,74
2021-05,74
2021-06,73
2021-07,64
2021-08,58
2021-09,69
2021-10,72
2021-11,73
2021-12,66
