YearMonth,MonthYear,WordMonth,Year,Month,Cul. Crime count,Gender_ratio,UnemploymentRate,MedianIncomeRate,MeanIncomeRate,WorkforceCount,PercentNegativeTweets,PercentNegativeUsers,FavorOfDemocrats
11-Apr,Apr-11,Apr,2011,4,0.003341878,0.501,11.7,46148,72787,0.026,0.286238532,0.439114391,0.69
11-Aug,Aug-11,Aug,2011,8,0.003664154,0.501,12.8,46148,72787,0.026,0.25862069,0.442857143,0.69
11-Dec,Dec-11,Dec,2011,12,0.003021173,0.501,11.5,46148,72787,0.026,0.217712177,0.462264151,0.69
11-Feb,Feb-11,Feb,2011,2,0.003010701,0.501,12.3,46148,72787,0.026,0.284452297,0.488188976,0.69
11-Jan,Jan-11,Jan,2011,1,0.003427225,0.501,12.7,46148,72787,0.026,0.29366306,0.452145215,0.69
11-Jul,Jul-11,Jul,2011,7,0.003809453,0.501,13.1,46148,72787,0.026,0,0,0.69
11-Jun,Jun-11,Jun,2011,6,0.003614412,0.501,12.5,46148,72787,0.026,0.292706334,0.465437788,0.69
11-Mar,Mar-11,Mar,2011,3,0.003745836,0.501,12.1,46148,72787,0.026,0.237918216,0.392592593,0.69
11-May,May-11,May,2011,5,0.003562838,0.501,11.9,46148,72787,0.026,0.306046512,0.482269504,0.69
11-Nov,Nov-11,Nov,2011,11,0.003157833,0.501,11.6,46148,72787,0.026,0.2,0.285714286,0.69
11-Oct,Oct-11,Oct,2011,10,0.003382196,0.501,12,46148,72787,0.026,0.243146603,0.435267857,0.69
11-Sep,Sep-11,Sep,2011,9,0.003511263,0.501,12.4,46148,72787,0.026,0.282051282,0.416666667,0.69
12-Apr,Apr-12,Apr,2012,4,0.003446277,0.503,10.6,46803,72528,0.022,0.27340824,0.446236559,0.686
12-Aug,Aug-12,Aug,2012,8,0.003860245,0.503,11.4,46803,72528,0.022,0.324324324,0.5375,0.686
12-Dec,Dec-12,Dec,2012,12,0.00312122,0.503,10.2,46803,72528,0.022,0.221875,0.40664557,0.686
12-Feb,Feb-12,Feb,2012,2,0.00354789,0.503,11.6,46803,72528,0.022,0,0,0.686
12-Jan,Jan-12,Jan,2012,1,0.003584439,0.503,11.8,46803,72528,0.022,0.226728723,0.499215071,0.686
12-Jul,Jul-12,Jul,2012,7,0.003753967,0.503,11.9,46803,72528,0.022,0,0,0.686
12-Jun,Jun-12,Jun,2012,6,0.003392619,0.503,11.3,46803,72528,0.022,0,0,0.686
12-Mar,Mar-12,Mar,2012,3,0.003810217,0.503,11.3,46803,72528,0.022,0.303320562,0.465798046,0.686
12-May,May-12,May,2012,5,0.003699531,0.503,10.8,46803,72528,0.022,0,0,0.686
12-Nov,Nov-12,Nov,2012,11,0.003123553,0.503,10,46803,72528,0.022,0.243523316,0.432624113,0.686
12-Oct,Oct-12,Oct,2012,10,0.0035116,0.503,10.5,46803,72528,0.022,0.223529412,0.453125,0.686
12-Sep,Sep-12,Sep,2012,9,0.003571479,0.503,10.5,46803,72528,0.022,0.297508897,0.413793103,0.686
13-Apr,Apr-13,Apr,2013,4,0.003545776,0.504,9.4,48466,77469,0.021,0.223002634,0.36625,0.686
13-Aug,Aug-13,Aug,2013,8,0.003270311,0.504,10.1,48466,77469,0.021,0,0,0.686
13-Dec,Dec-13,Dec,2013,12,0.002802535,0.504,8.6,48466,77469,0.021,0.216049383,0.375838926,0.686
13-Feb,Feb-13,Feb,2013,2,0.002772672,0.504,10.3,48466,77469,0.021,0.204946996,0.457142857,0.686
13-Jan,Jan-13,Jan,2013,1,0.003402895,0.504,10.9,48466,77469,0.021,0.229082047,0.399198932,0.686
13-Jul,Jul-13,Jul,2013,7,0.003434303,0.504,10.5,48466,77469,0.021,0.190123457,0.472817133,0.686
