Category: All categories

Month,depression: (Nashville TN)
2015-01,79
2015-02,84
2015-03,80
2015-04,86
2015-05,70
2015-06,54
2015-07,73
2015-08,59
2015-09,81
2015-10,83
2015-11,85
2015-12,77
2016-01,72
2016-02,79
2016-03,79
2016-04,84
2016-05,76
2016-06,56
2016-07,56
2016-08,69
2016-09,74
2016-10,82
2016-11,85
2016-12,73
2017-01,80
2017-02,88
2017-03,88
2017-04,88
2017-05,73
2017-06,65
2017-07,60
2017-08,67
2017-09,71
2017-10,87
2017-11,78
2017-12,78
2018-01,76
2018-02,79
2018-03,86
2018-04,86
2018-05,76
2018-06,80
2018-07,69
2018-08,65
2018-09,76
2018-10,85
2018-11,93
2018-12,83
2019-01,91
2019-02,95
2019-03,100
2019-04,83
2019-05,78
2019-06,68
2019-07,71
2019-08,67
2019-09,76
2019-10,86
2019-11,86
2019-12,73
2020-01,70
2020-02,82
2020-03,78
2020-04,82
2020-05,76
2020-06,67
2020-07,68
2020-08,77
2020-09,76
2020-10,85
2020-11,77
2020-12,65
2021-01,65
2021-02,74
2021-03,74
2021-04,78
2021-05,58
2021-06,63
2021-07,57
2021-08,84
2021-09,65
2021-10,73
2021-11,71
2021-12,57
