YearMonth,MonthYear,WordMonth,Year,Month,Cul. Crime count,Gender_ratio,UnemploymentRate,MedianIncomeRate,MeanIncomeRate,WorkforceCount,PercentNegativeTweets,PercentNegativeUsers,FavorOfDemocrats
15-Jan,Jan-15,Jan,2015,1,0.013793833,0.519,5,52026,74479,0.04,0,0.272727273,0.585
15-Feb,Feb-15,Feb,2015,2,0.011523255,0.519,4.7,52026,74479,0.04,0,0.204545455,0.585
15-Mar,Mar-15,Mar,2015,3,0.014611887,0.519,4.5,52026,74479,0.04,0,0.280193237,0.585
15-Apr,Apr-15,Apr,2015,4,0.014802815,0.519,4.2,52026,74479,0.04,0,0.251336898,0.585
15-May,May-15,May,2015,5,0.015989508,0.519,4.5,52026,74479,0.04,0,0.254901961,0.585
15-Jun,Jun-15,Jun,2015,6,0.015716333,0.519,4.8,52026,74479,0.04,0,0.333333333,0.585
15-Jul,Jul-15,Jul,2015,7,0.016330241,0.519,4.7,52026,74479,0.04,0,0.239766082,0.585
15-Aug,Aug-15,Aug,2015,8,0.016433049,0.519,4.3,52026,74479,0.04,0,0.265895954,0.585
15-Sep,Sep-15,Sep,2015,9,0.015378537,0.519,4.2,52026,74479,0.04,0,0.340163934,0.585
15-Oct,Oct-15,Oct,2015,10,0.015719271,0.519,3.9,52026,74479,0.04,0,0.328947368,0.585
15-Nov,Nov-15,Nov,2015,11,0.014238842,0.519,3.8,52026,74479,0.04,0,0.373015873,0.585
15-Dec,Dec-15,Dec,2015,12,0.01516411,0.519,3.5,52026,74479,0.04,0,0.295833333,0.585
16-Jan,Jan-16,Jan,2016,1,0.013959239,0.519,3.6,54855,78234,0.042,0,0.263414634,0.598
16-Feb,Feb-16,Feb,2016,2,0.013485009,0.519,3.6,54855,78234,0.042,0,0.208737864,0.598
16-Mar,Mar-16,Mar,2016,3,0.015598679,0.519,3.6,54855,78234,0.042,0,0.25462963,0.598
16-Apr,Apr-16,Apr,2016,4,0.015443027,0.519,3.3,54855,78234,0.042,0,0.299465241,0.598
16-May,May-16,May,2016,5,0.015325197,0.519,3.2,54855,78234,0.042,0,0.306818182,0.598
