Category: All categories

Month,depression: (New Orleans LA)
2011-01,54
2011-02,69
2011-03,53
2011-04,69
2011-05,44
2011-06,63
2011-07,50
2011-08,57
2011-09,68
2011-10,60
2011-11,70
2011-12,50
2012-01,56
2012-02,56
2012-03,55
2012-04,58
2012-05,55
2012-06,57
2012-07,49
2012-08,48
2012-09,54
2012-10,54
2012-11,57
2012-12,52
2013-01,54
2013-02,56
2013-03,58
2013-04,60
2013-05,45
2013-06,54
2013-07,46
2013-08,45
2013-09,49
2013-10,65
2013-11,54
2013-12,48
2014-01,55
2014-02,65
2014-03,63
2014-04,64
2014-05,60
2014-06,54
2014-07,53
2014-08,71
2014-09,61
2014-10,60
2014-11,62
2014-12,66
2015-01,62
2015-02,63
2015-03,74
2015-04,66
2015-05,64
2015-06,47
2015-07,47
2015-08,71
2015-09,72
2015-10,80
2015-11,70
2015-12,74
2016-01,73
2016-02,66
2016-03,67
2016-04,72
2016-05,63
2016-06,52
2016-07,38
2016-08,100
2016-09,72
2016-10,64
2016-11,69
2016-12,60
2017-01,71
2017-02,80
2017-03,69
2017-04,71
2017-05,67
2017-06,60
2017-07,62
2017-08,66
2017-09,67
2017-10,83
2017-11,78
2017-12,55
2018-01,58
2018-02,65
2018-03,75
2018-04,69
2018-05,69
2018-06,64
2018-07,70
2018-08,61
2018-09,71
2018-10,84
2018-11,72
2018-12,63
2019-01,65
2019-02,80
2019-03,80
2019-04,67
2019-05,67
2019-06,59
2019-07,73
2019-08,72
2019-09,72
2019-10,73
2019-11,68
2019-12,61
2020-01,64
2020-02,69
2020-03,79
2020-04,72
2020-05,64
2020-06,70
2020-07,62
2020-08,76
2020-09,81
2020-10,75
2020-11,63
2020-12,55
2021-01,63
2021-02,71
2021-03,65
2021-04,69
2021-05,60
2021-06,58
2021-07,53
2021-08,65
2021-09,70
2021-10,64
2021-11,61
2021-12,49
