YearMonth,YearMonth1,WordMonth,Year,Month,Cul. Crime count,Gender_ratio,UnemploymentRate,MedianIncomeRate,MeanIncomeRate,WorkforceCount,PercentNegativeTweets,PercentNegativeUsers,FavorOfDemocrats
11-Jan,Jan-11,Jan,2011,1,0.022653379,0.515,8.9,37325,59780,0.058,0,0.347826087,0.79
11-Feb,Feb-11,Feb,2011,2,0.0209795,0.515,7.8,37325,59780,0.058,0,0.28125,0.79
11-Mar,Mar-11,Mar,2011,3,0.026405608,0.515,7.8,37325,59780,0.058,0,0.301886792,0.79
11-Apr,Apr-11,Apr,2011,4,0.027279883,0.515,7.4,37325,59780,0.058,0,0.234234234,0.79
11-May,May-11,May,2011,5,0.028135491,0.515,7.9,37325,59780,0.058,0,0.282258065,0.79
11-Jun,Jun-11,Jun,2011,6,0.025297985,0.515,9.2,37325,59780,0.058,0,0.258064516,0.79
11-Jul,Jul-11,Jul,2011,7,0.026925195,0.515,9.2,37325,59780,0.058,0,0,0.79
11-Aug,Aug-11,Aug,2011,8,0.028322169,0.515,8.8,37325,59780,0.058,0,0,0.79
11-Sep,Sep-11,Sep,2011,9,0.02492774,0.515,8.5,37325,59780,0.058,0,0.290322581,0.79
11-Oct,Oct-11,Oct,2011,10,0.026610954,0.515,8.1,37325,59780,0.058,0,0,0.79
11-Nov,Nov-11,Nov,2011,11,0.02440193,0.515,7.4,37325,59780,0.058,0,0.1875,0.79
11-Dec,Dec-11,Dec,2011,12,0.026026029,0.515,7.3,37325,59780,0.058,0,0.310344828,0.79
12-Jan,Jan-12,Jan,2012,1,0.024973126,0.517,8.2,36681,60280,0.055,0,0.392694064,0.803
12-Feb,Feb-12,Feb,2012,2,0.02390695,0.517,7.4,36681,60280,0.055,0,0.192307692,0.803
12-Mar,Mar-12,Mar,2012,3,0.025684886,0.517,7.4,36681,60280,0.055,0,0.31097561,0.803
12-Apr,Apr-12,Apr,2012,4,0.026920948,0.517,6.8,36681,60280,0.055,0,0.396825397,0.803
12-May,May-12,May,2012,5,0.027925614,0.517,7.3,36681,60280,0.055,0,0.136363636,0.803
12-Jun,Jun-12,Jun,2012,6,0.027090833,0.517,8.7,36681,60280,0.055,0,0.142857143,0.803
12-Jul,Jul-12,Jul,2012,7,0.027612205,0.517,8.6,36681,60280,0.055,0,0.166666667,0.803
12-Aug,Aug-12,Aug,2012,8,0.026625113,0.517,8.1,36681,60280,0.055,0,0.216216216,0.803
12-Sep,Sep-12,Sep,2012,9,0.025090288,0.517,7.5,36681,60280,0.055,0,0.236842105,0.803
12-Oct,Oct-12,Oct,2012,10,0.024577703,0.517,7.1,36681,60280,0.055,0,0.266666667,0.803
12-Nov,Nov-12,Nov,2012,11,0.024648001,0.517,6.3,36681,60280,0.055,0,0.283333333,0.803
12-Dec,Dec-12,Dec,2012,12,0.024718298,0.517,6.6,36681,60280,0.055,0,0.196078431,0.803
13-Jan,Jan-13,Jan,2013,1,0.023682611,0.518,7.9,37146,61211,0.053,0,0.261904762,0.803
13-Feb,Feb-13,Feb,2013,2,0.020889996,0.518,7,37146,61211,0.053,0,0.221052632,0.803
13-Mar,Mar-13,Mar,2013,3,0.023772244,0.518,6.8,37146,61211,0.053,0,0.19047619,0.803
13-Apr,Apr-13,Apr,2013,4,0.023906692,0.518,6.6,37146,61211,0.053,0,0.227272727,0.803
13-May,May-13,May,2013,5,0.02450611,0.518,7,37146,61211,0.053,0,0.25,0.803
13-Jun,Jun-13,Jun,2013,6,0.025360421,0.518,8.3,37146,61211,0.053,0,0.18018018,0.803
13-Jul,Jul-13,Jul,2013,7,0.026461221,0.518,8,37146,61211,0.053,0,0.333333333,0.803
13-Aug,Aug-13,Aug,2013,8,0.025483666,0.518,7.6,37146,61211,0.053,0,0.35,0.803
13-Sep,Sep-13,Sep,2013,9,0.023620989,0.518,7.2,37146,61211,0.053,0,0.5,0.803
13-Oct,Oct-13,Oct,2013,10,0.025360421,0.518,6.7,37146,61211,0.053,0,0,0.803
13-Nov,Nov-13,Nov,2013,11,0.022898326,0.518,6,37146,61211,0.053,0,0.428571429,0.803
13-Dec,Dec-13,Dec,2013,12,0.024060748,0.518,5.4,37146,61211,0.053,0,0.448275862,0.803
14-Jan,Jan-14,Jan,2014,1,0.022373538,0.52,6.3,36964,62880,0.052,0,0.3,0.803
14-Feb,Feb-14,Feb,2014,2,0.022050582,0.52,5.7,36964,62880,0.052,0,0,0.803
14-Mar,Mar-14,Mar,2014,3,0.024791639,0.52,5.9,36964,62880,0.052,0,0,0.803
14-Apr,Apr-14,Apr,2014,4,0.025863636,0.52,5.5,36964,62880,0.052,0,0,0.803
14-May,May-14,May,2014,5,0.026091606,0.52,6.3,36964,62880,0.052,0,0.263157895,0.803
14-Jun,Jun-14,Jun,2014,6,0.024343843,0.52,7.3,36964,62880,0.052,0,0.184210526,0.803
14-Jul,Jul-14,Jul,2014,7,0.025337136,0.52,7.9,36964,62880,0.052,0,0.25,0.803
14-Aug,Aug-14,Aug,2014,8,0.022359969,0.52,7.9,36964,62880,0.052,0,0.257142857,0.803
14-Sep,Sep-14,Sep,2014,9,0.022012587,0.52,7.7,36964,62880,0.052,0,0.274509804,0.803
14-Oct,Oct-14,Oct,2014,10,0.023505242,0.52,7.2,36964,62880,0.052,0,0.270833333,0.803
14-Nov,Nov-14,Nov,2014,11,0.020492793,0.52,7.1,36964,62880,0.052,0,0.307692308,0.803
14-Dec,Dec-14,Dec,2014,12,0.022615077,0.52,6.6,36964,62880,0.052,0,0.289473684,0.803
15-Jan,Jan-15,Jan,2015,1,0.022007337,0.522,7.4,36792,63703,0.051,0,0.243902439,0.803
15-Feb,Feb-15,Feb,2015,2,0.018753086,0.522,6.5,36792,63703,0.051,0,0,0.803
15-Mar,Mar-15,Mar,2015,3,0.021497699,0.522,6.5,36792,63703,0.051,0,0.071428571,0.803
15-Apr,Apr-15,Apr,2015,4,0.021383561,0.522,6.1,36792,63703,0.051,0,0,0.803
15-May,May-15,May,2015,5,0.023230999,0.522,6.4,36792,63703,0.051,0,0,0.803
15-Jun,Jun-15,Jun,2015,6,0.021059729,0.522,7.2,36792,63703,0.051,0,0.347826087,0.803
15-Jul,Jul-15,Jul,2015,7,0.023966258,0.522,7.2,36792,63703,0.051,0,0.288888889,0.803
15-Aug,Aug-15,Aug,2015,8,0.021686159,0.522,6.7,36792,63703,0.051,0,0.333333333,0.803
15-Sep,Sep-15,Sep,2015,9,0.02249574,0.522,6.5,36792,63703,0.051,0,0,0.803
15-Oct,Oct-15,Oct,2015,10,0.023358408,0.522,6.2,36792,63703,0.051,0,0,0.803
15-Nov,Nov-15,Nov,2015,11,0.02230728,0.522,5.6,36792,63703,0.051,0,0,0.803
