Category: All categories

Month,depression: (New York NY)
2011-01,66
2011-02,71
2011-03,81
2011-04,76
2011-05,75
2011-06,66
2011-07,53
2011-08,52
2011-09,61
2011-10,68
2011-11,70
2011-12,64
2012-01,69
2012-02,72
2012-03,78
2012-04,77
2012-05,72
2012-06,60
2012-07,54
2012-08,52
2012-09,60
2012-10,60
2012-11,58
2012-12,59
2013-01,65
2013-02,71
2013-03,83
2013-04,80
2013-05,75
2013-06,58
2013-07,51
2013-08,51
2013-09,58
2013-10,66
2013-11,71
2013-12,61
2014-01,66
2014-02,68
2014-03,77
2014-04,84
2014-05,74
2014-06,60
2014-07,52
2014-08,76
2014-09,66
2014-10,71
2014-11,73
2014-12,71
2015-01,71
2015-02,73
2015-03,83
2015-04,82
2015-05,78
2015-06,61
2015-07,59
2015-08,59
2015-09,68
2015-10,74
2015-11,67
2015-12,78
2016-01,73
2016-02,76
2016-03,83
2016-04,82
2016-05,73
2016-06,63
2016-07,55
2016-08,55
2016-09,71
2016-10,75
2016-11,73
2016-12,72
2017-01,75
2017-02,73
2017-03,79
2017-04,84
2017-05,80
2017-06,71
2017-07,70
2017-08,65
2017-09,66
2017-10,80
2017-11,76
2017-12,77
2018-01,78
2018-02,81
2018-03,78
2018-04,83
2018-05,78
2018-06,77
2018-07,64
2018-08,63
2018-09,72
2018-10,79
2018-11,86
2018-12,76
2019-01,74
2019-02,85
2019-03,89
2019-04,80
2019-05,78
2019-06,61
2019-07,63
2019-08,60
2019-09,66
2019-10,69
2019-11,72
2019-12,72
2020-01,74
2020-02,84
2020-03,87
2020-04,100
2020-05,82
2020-06,57
2020-07,58
2020-08,60
2020-09,58
2020-10,75
2020-11,64
2020-12,65
2021-01,65
2021-02,70
2021-03,65
2021-04,67
2021-05,60
2021-06,52
2021-07,52
2021-08,51
2021-09,56
2021-10,58
2021-11,62
2021-12,62
