YearMonth,MonthYear,WordMonth,Year,Month,Cul. Crime count,Gender_ratio,UnemploymentRate,MedianIncomeRate,MeanIncomeRate,WorkforceCount,PercentNegativeTweets,PercentNegativeUsers,FavorOfDemocrats
11-Jan,11-Jan,Jan,2011,1,0.004149469,0.524,8.4,49461,78403,0.039,0,0.377570093,0.76
11-Feb,11-Feb,Feb,2011,2,0.004144133,0.524,8.3,49461,78403,0.039,0,0.434380776,0.76
11-Mar,11-Mar,Mar,2011,3,0.004707874,0.524,8.2,49461,78403,0.039,0,0.445205479,0.76
11-Apr,11-Apr,Apr,2011,4,0.004513573,0.524,8.2,49461,78403,0.039,0,0.431784108,0.76
11-May,11-May,May,2011,5,0.004471607,0.524,8.2,49461,78403,0.039,0,0.439698492,0.76
11-Jun,11-Jun,Jun,2011,6,0.004333098,0.524,8.3,49461,78403,0.039,0,0.502702703,0.76
11-Jul,11-Jul,Jul,2011,7,0.004207687,0.524,8.3,49461,78403,0.039,0,0.466494845,0.76
11-Aug,11-Aug,Aug,2011,8,0.004040675,0.524,8.4,49461,78403,0.039,0,0.432873275,0.76
11-Sep,11-Sep,Sep,2011,9,0.003768264,0.524,8.4,49461,78403,0.039,0,0.445475638,0.76
11-Oct,11-Oct,Oct,2011,10,0.004030608,0.524,8.5,49461,78403,0.039,0,0.416184971,0.76
11-Nov,11-Nov,Nov,2011,11,0.003982821,0.524,8.5,49461,78403,0.039,0,0.492907801,0.76
11-Dec,11-Dec,Dec,2011,12,0.003724601,0.524,8.6,49461,78403,0.039,0,0.436383929,0.76
12-Jan,12-Jan,Jan,2012,1,0.004379312,0.524,8.6,50895,79037,0.04,0,0.479477612,0.74
12-Feb,12-Feb,Feb,2012,2,0.004127774,0.524,8.6,50895,79037,0.04,0,0.421460177,0.74
12-Mar,12-Mar,Mar,2012,3,0.004638528,0.524,8.7,50895,79037,0.04,0,0.419573643,0.74
12-Apr,12-Apr,Apr,2012,4,0.00403853,0.524,8.8,50895,79037,0.04,0,0.424947146,0.74
12-May,12-May,May,2012,5,0.004325694,0.524,8.8,50895,79037,0.04,0,0,0.74
12-Jun,12-Jun,Jun,2012,6,0.003901065,0.524,8.8,50895,79037,0.04,0,0,0.74
12-Jul,12-Jul,Jul,2012,7,0.004011901,0.524,8.7,50895,79037,0.04,0,0.43879668,0.74
12-Aug,12-Aug,Aug,2012,8,0.004251444,0.524,8.6,50895,79037,0.04,0,0.346938776,0.74
12-Sep,12-Sep,Sep,2012,9,0.003870118,0.524,8.6,50895,79037,0.04,0,0.466793169,0.74
12-Oct,12-Oct,Oct,2012,10,0.003954684,0.524,8.5,50895,79037,0.04,0,0.417998318,0.74
12-Nov,12-Nov,Nov,2012,11,0.002764284,0.524,8.4,50895,79037,0.04,0,0.470588235,0.74
12-Dec,12-Dec,Dec,2012,12,0.00327108,0.524,8.4,50895,79037,0.04,0,0.400787402,0.74
13-Jan,13-Jan,Jan,2013,1,0.003992345,0.523,8.3,52223,84292,0.035,0,0.46023166,0.74
13-Feb,13-Feb,Feb,2013,2,0.003755367,0.523,8.2,52223,84292,0.035,0,0.483333333,0.74
13-Mar,13-Mar,Mar,2013,3,0.004027321,0.523,8.1,52223,84292,0.035,0,0.384615385,0.74
13-Apr,13-Apr,Apr,2013,4,0.004138553,0.523,8,52223,84292,0.035,0,0.416916168,0.74
13-May,13-May,May,2013,5,0.004251926,0.523,7.9,52223,84292,0.035,0,0.357142857,0.74
13-Jun,13-Jun,Jun,2013,6,0.003786298,0.523,7.9,52223,84292,0.035,0,0.406936416,0.74
13-Jul,13-Jul,Jul,2013,7,0.003978664,0.523,7.8,52223,84292,0.035,0,0.402188782,0.74
13-Aug,13-Aug,Aug,2013,8,0.004100484,0.523,7.8,52223,84292,0.035,0,0.377245509,0.74
13-Sep,13-Sep,Sep,2013,9,0.003724079,0.523,7.6,52223,84292,0.035,0,0.412162162,0.74
13-Oct,13-Oct,Oct,2013,10,0.004014948,0.523,7.5,52223,84292,0.035,0,0.439590444,0.74
13-Nov,13-Nov,Nov,2013,11,0.003725863,0.523,7.3,52223,84292,0.035,0,0.427016645,0.74
13-Dec,13-Dec,Dec,2013,12,0.003353622,0.523,7.1,52223,84292,0.035,0,0.431372549,0.74
14-Jan,14-Jan,Jan,2014,1,0.003860876,0.523,7,52996,85356,0.036,0,0.463679245,0.74
14-Feb,14-Feb,Feb,2014,2,0.003638054,0.523,6.8,52996,85356,0.036,0,0.447671507,0.74
14-Mar,14-Mar,Mar,2014,3,0.004266478,0.523,6.7,52996,85356,0.036,0,0.431496063,0.74
14-Apr,14-Apr,Apr,2014,4,0.004078398,0.523,6.5,52996,85356,0.036,0,0.443352601,0.74
14-May,14-May,May,2014,5,0.00426318,0.523,6.4,52996,85356,0.036,0,0.425143453,0.74
14-Jun,14-Jun,Jun,2014,6,0.003916581,0.523,6.3,52996,85356,0.036,0,0.409090909,0.74
14-Jul,14-Jul,Jul,2014,7,0.00411844,0.523,6.2,52996,85356,0.036,0,0.429171039,0.74
14-Aug,14-Aug,Aug,2014,8,0.004001729,0.523,6.1,52996,85356,0.036,0,0.440362812,0.74
14-Sep,14-Sep,Sep,2014,9,0.003746167,0.523,6,52996,85356,0.036,0,0.42231405,0.74
14-Oct,14-Oct,Oct,2014,10,0.004111138,0.523,5.9,52996,85356,0.036,0,0.430942501,0.74
14-Nov,14-Nov,Nov,2014,11,0.003401923,0.523,5.8,52996,85356,0.036,0,0.456444218,0.74
14-Dec,14-Dec,Dec,2014,12,0.002259901,0.523,5.8,52996,85356,0.036,0,0.429789368,0.74
15-Jan,15-Jan,Jan,2015,1,0.002963368,0.523,5.7,55752,89680,0.036,0,0.424358274,0.74
15-Feb,15-Feb,Feb,2015,2,0.003166634,0.523,5.6,55752,89680,0.036,0,0.397820163,0.74
15-Mar,15-Mar,Mar,2015,3,0.003509424,0.523,5.6,55752,89680,0.036,0,0.416438356,0.74
15-Apr,15-Apr,Apr,2015,4,0.003503694,0.523,5.5,55752,89680,0.036,0,0.386144965,0.74
15-May,15-May,May,2015,5,0.0033499,0.523,5.4,55752,89680,0.036,0,0.420134983,0.74
15-Jun,15-Jun,Jun,2015,6,0.003354461,0.523,5.3,55752,89680,0.036,0,0.436834094,0.74
15-Jul,15-Jul,Jul,2015,7,0.00353071,0.523,5.2,55752,89680,0.036,0,0.450958286,0.74
15-Aug,15-Aug,Aug,2015,8,0.00366509,0.523,5,55752,89680,0.036,0,0.425014476,0.74
