Category: All categories

Month,depression: (Seattle-Tacoma WA)
2011-01,72
2011-02,79
2011-03,89
2011-04,86
2011-05,89
2011-06,70
2011-07,59
2011-08,57
2011-09,56
2011-10,79
2011-11,72
2011-12,67
2012-01,71
2012-02,80
2012-03,83
2012-04,79
2012-05,72
2012-06,68
2012-07,57
2012-08,54
2012-09,65
2012-10,73
2012-11,72
2012-12,63
2013-01,78
2013-02,73
2013-03,79
2013-04,74
2013-05,77
2013-06,68
2013-07,56
2013-08,59
2013-09,58
2013-10,69
2013-11,69
2013-12,66
2014-01,80
2014-02,77
2014-03,83
2014-04,76
2014-05,77
2014-06,70
2014-07,59
2014-08,79
2014-09,69
2014-10,77
2014-11,69
2014-12,63
2015-01,79
2015-02,89
2015-03,85
2015-04,83
2015-05,81
2015-06,67
2015-07,67
2015-08,66
2015-09,65
2015-10,83
2015-11,82
2015-12,74
2016-01,83
2016-02,90
2016-03,90
2016-04,77
2016-05,81
2016-06,74
2016-07,60
2016-08,60
2016-09,71
2016-10,82
2016-11,82
2016-12,73
2017-01,85
2017-02,83
2017-03,94
2017-04,86
2017-05,88
2017-06,78
2017-07,64
2017-08,73
2017-09,72
2017-10,82
2017-11,78
2017-12,79
2018-01,83
2018-02,90
2018-03,96
2018-04,87
2018-05,87
2018-06,94
2018-07,70
2018-08,76
2018-09,73
2018-10,86
2018-11,100
2018-12,78
2019-01,95
2019-02,85
2019-03,94
2019-04,84
2019-05,95
2019-06,81
2019-07,78
2019-08,70
2019-09,71
2019-10,83
2019-11,85
2019-12,79
2020-01,84
2020-02,94
2020-03,88
2020-04,94
2020-05,92
2020-06,72
2020-07,67
2020-08,70
2020-09,67
2020-10,73
2020-11,73
2020-12,77
2021-01,70
2021-02,80
2021-03,78
2021-04,66
2021-05,72
2021-06,65
2021-07,61
2021-08,59
2021-09,60
2021-10,73
2021-11,73
2021-12,65
