YearMonth,YearMonth1,WordMonth,Year,Month,Cul. Crime count,Gender_ratio,UnemploymentRate,MedianIncomeRate,MeanIncomeRate,WorkforceCount,PercentNegativeTweets,PercentNegativeUsers,FavorOfDemocrats
11-Jan,Jan-11,Jan,2011,1,0.008097903,0.501,7.5,60581,83510,0.035,0,0.31092437,0.7
11-Feb,Feb-11,Feb,2011,2,0.006830139,0.501,7.3,60581,83510,0.035,0,0.352941176,0.7
11-Mar,Mar-11,Mar,2011,3,0.007648467,0.501,7,60581,83510,0.035,0,0.327272727,0.7
11-Apr,Apr-11,Apr,2011,4,0.007455161,0.501,6.4,60581,83510,0.035,0,0.281690141,0.7
11-May,May-11,May,2011,5,0.008236439,0.501,6.7,60581,83510,0.035,0,0.306122449,0.7
11-Jun,Jun-11,Jun,2011,6,0.008163949,0.501,6.9,60581,83510,0.035,0,0.387596899,0.7
11-Jul,Jul-11,Jul,2011,7,0.008350811,0.501,7,60581,83510,0.035,0,0.234375,0.7
11-Aug,Aug-11,Aug,2011,8,0.008747088,0.501,6.6,60581,83510,0.035,0,0.305343511,0.7
11-Sep,Sep-11,Sep,2011,9,0.008365309,0.501,6.7,60581,83510,0.035,0,0.329192547,0.7
11-Oct,Oct-11,Oct,2011,10,0.008231606,0.501,6.4,60581,83510,0.035,0,0.438596491,0.7
11-Nov,Nov-11,Nov,2011,11,0.007527651,0.501,6.3,60581,83510,0.035,0,0.357798165,0.7
11-Dec,Dec-11,Dec,2011,12,0.007795057,0.501,6.2,60581,83510,0.035,0,0.317829457,0.7
12-Jan,Jan-12,Jan,2012,1,0.007176841,0.502,6.6,61579,84453,0.035,0,0.314102564,0.686
12-Feb,Feb-12,Feb,2012,2,0.0073171,0.502,6.4,61579,84453,0.035,0,0.321678322,0.686
12-Mar,Mar-12,Mar,2012,3,0.007613377,0.502,6.2,61579,84453,0.035,0,0.290909091,0.686
12-Apr,Apr-12,Apr,2012,4,0.007934869,0.502,5.6,61579,84453,0.035,0,0.324840764,0.686
12-May,May-12,May,2012,5,0.008026274,0.502,6.1,61579,84453,0.035,0,0.327731092,0.686
12-Jun,Jun-12,Jun,2012,6,0.007726845,0.502,6.3,61579,84453,0.035,0,0.245762712,0.686
12-Jul,Jul-12,Jul,2012,7,0.008391893,0.502,6.2,61579,84453,0.035,0,0.277027027,0.686
12-Aug,Aug-12,Aug,2012,8,0.008109799,0.502,5.7,61579,84453,0.035,0,0.277108434,0.686
12-Sep,Sep-12,Sep,2012,9,0.007887591,0.502,5.3,61579,84453,0.035,0,0.276995305,0.686
12-Oct,Oct-12,Oct,2012,10,0.00775206,0.502,4.9,61579,84453,0.035,0,0.392344498,0.686
12-Nov,Nov-12,Nov,2012,11,0.007249335,0.502,4.5,61579,84453,0.035,0,0.270408163,0.686
12-Dec,Dec-12,Dec,2012,12,0.007561371,0.502,4.3,61579,84453,0.035,0,0.275229358,0.686
13-Jan,Jan-13,Jan,2013,1,0.007905841,0.501,4.5,62310,85871,0.035,0,0.272340426,0.686
13-Feb,Feb-13,Feb,2013,2,0.00686818,0.501,3.7,62310,85871,0.035,0,0.262195122,0.686
13-Mar,Mar-13,Mar,2013,3,0.007767895,0.501,3.6,62310,85871,0.035,0,0.233333333,0.686
13-Apr,Apr-13,Apr,2013,4,0.00754105,0.501,3.2,62310,85871,0.035,0,0.302583026,0.686
13-May,May-13,May,2013,5,0.008719723,0.501,3.6,62310,85871,0.035,0,0.31122449,0.686
13-Jun,Jun-13,Jun,2013,6,0.007913505,0.501,4,62310,85871,0.035,0,0.287671233,0.686
13-Jul,Jul-13,Jul,2013,7,0.008661479,0.501,4.2,62310,85871,0.035,0,0.22556391,0.686
13-Aug,Aug-13,Aug,2013,8,0.008365661,0.501,4.3,62310,85871,0.035,0,0.239583333,0.686
13-Sep,Sep-13,Sep,2013,9,0.00845456,0.501,4.3,62310,85871,0.035,0,0.273615635,0.686
13-Oct,Oct-13,Oct,2013,10,0.008730452,0.501,4.3,62310,85871,0.035,0,0.333333333,0.686
13-Nov,Nov-13,Nov,2013,11,0.008331941,0.501,4,62310,85871,0.035,0,0.279166667,0.686
13-Dec,Dec-13,Dec,2013,12,0.008244575,0.501,3.9,62310,85871,0.035,0,0.312302839,0.686
14-Jan,Jan-14,Jan,2014,1,0.008591474,0.499,4.2,63727,88030,0.035,0,0.300492611,0.686
